post_id,title,category,score,num_comments,author,collected_at
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,technology,24,3,topherPedersen,2026-04-03 17:43:20
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,138,56,WaitWaitWha,2026-04-03 17:43:20
47616665,Group Pushing Age Verification for AI Turns Out to Be Backed by OpenAI,technology,43,4,SilverElfin,2026-04-03 17:43:20
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),worldnews,149,41,jkool702,2026-04-03 17:43:20
47592462,I traced my traffic through a home Tailscale exit node,technology,152,72,stonecharioteer,2026-04-03 17:43:20
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",technology,418,152,PrismML,2026-04-03 17:43:20
47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,5,0,dxs,2026-04-03 17:43:20
47605677,Signing data structures the wrong way,technology,118,52,malgorithms,2026-04-03 17:43:20
47577761,Fedware: Government apps that spy harder than the apps they ban,worldnews,680,278,speckx,2026-04-03 17:43:20
47578086,Vulnerability research is cooked,science,255,168,pedro84,2026-04-03 17:43:20
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,83,45,coolwulf,2026-04-03 17:43:20
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,science,41,4,MagneLauritzen,2026-04-03 17:43:20
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,68,25,jeditobe,2026-04-03 17:43:20
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,25,3,teekert,2026-04-03 17:43:20
47588349,GitHub Monaspace Case Study,science,146,49,homebrewer,2026-04-03 17:43:20
47586614,Open source CAD in the browser (Solvespace),science,369,125,phkahler,2026-04-03 17:43:20
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,9,2,mempko,2026-04-03 17:43:20
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,entertainment,381,535,TobiasBerg,2026-04-03 17:43:20
47548164,"Researchers find 3,500-year-old loom that reveals textile revolution",science,132,20,geox,2026-04-03 17:43:20
47562342,Digitizing photos from the 1998 Game Boy Camera,sports,68,15,rockbruno,2026-04-03 17:43:20
47578572,Turning a MacBook into a touchscreen with $1 of hardware (2018),worldnews,407,230,HughParry,2026-04-03 17:43:20
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,28,0,mooreds,2026-04-03 17:43:20
47555035,"Show HN: Loreline, narrative language transpiled via Haxe: C++/C#/JS/Java/Py/Lua",entertainment,73,21,jeremyfa,2026-04-03 17:43:20
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-03 17:43:20
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,116,vrganj,2026-04-03 17:43:20
